Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1907,-0.38,-0.47,-0.29,-0.59,-0.3,-0.29,-0.6,-0.72,-0.51,-0.31,-0.3,-0.21,-0.36,-1.18
1908,-0.43,-0.46,-0.4,-0.48,-0.44,-0.36,-0.25,-0.54,-0.51,-0.42,-0.45,-0.29,-0.48,0.69
1909,-0.48,-0.49,-0.47,-0.53,-0.47,-0.44,-0.77,-0.62,-0.43,-0.44,-0.51,-0.37,-0.52,-0.55
1910,-0.43,-0.44,-0.42,-0.41,-0.48,-0.38,-0.57,-0.24,-0.49,-0.48,-0.49,-0.33,-0.45,0.18
1911,-0.44,-0.42,-0.45,-0.42,-0.42,-0.48,-0.27,-0.41,-0.46,-0.43,-0.41,-0.44,-0.52,0.07
1912,-0.36,-0.46,-0.24,-0.59,-0.18,-0.36,-0.49,-0.78,-0.49,-0.28,-0.07,-0.36,-0.29,-1.62
1913,-0.34,-0.42,-0.25,-0.44,-0.27,-0.35,-0.5,-0.33,-0.5,-0.4,-0.13,-0.28,-0.4,-1.02
1914,-0.15,-0.2,-0.1,-0.25,-0.07,-0.17,-0.37,-0.16,-0.28,-0.13,0,-0.15,-0.18,-0.35
1915,-0.14,-0.14,-0.12,-0.23,-0.01,-0.22,-0.6,-0.16,-0.18,-0.02,0,-0.15,-0.23,-1.97
1916,-0.35,-0.42,-0.3,-0.36,-0.45,-0.22,-0.46,-0.54,-0.24,-0.5,-0.39,-0.22,-0.17,-1.03
1917,-0.46,-0.58,-0.35,-0.5,-0.63,-0.18,-0.84,-0.5,-0.42,-0.69,-0.57,-0.23,-0.09,0.08
1918,-0.3,-0.4,-0.2,-0.41,-0.33,-0.13,-1.03,-0.27,-0.34,-0.39,-0.28,-0.06,-0.23,-0.26
1919,-0.28,-0.35,-0.2,-0.43,-0.2,-0.22,-0.71,-0.56,-0.29,-0.23,-0.17,-0.14,-0.32,0.21
1920,-0.27,-0.3,-0.24,-0.25,-0.26,-0.32,-0.02,-0.2,-0.34,-0.38,-0.13,-0.19,-0.48,-1.13
1921,-0.19,-0.11,-0.26,0.02,-0.25,-0.3,0,0.17,-0.08,-0.3,-0.21,-0.23,-0.38,-0.82
1922,-0.28,-0.28,-0.29,-0.24,-0.32,-0.27,-0.3,-0.41,-0.13,-0.33,-0.32,-0.24,-0.28,-0.26
1923,-0.26,-0.22,-0.31,-0.15,-0.3,-0.33,0.17,-0.15,-0.25,-0.32,-0.28,-0.26,-0.41,-0.53
1924,-0.27,-0.18,-0.35,-0.13,-0.26,-0.43,0.45,-0.25,-0.22,-0.27,-0.25,-0.39,-0.45,-0.51
1925,-0.22,-0.14,-0.3,-0.04,-0.24,-0.37,-0.07,0.18,-0.18,-0.28,-0.2,-0.24,-0.55,-0.84
1926,-0.11,0.02,-0.22,0.03,0.01,-0.4,0.57,0.16,-0.21,0.01,0.02,-0.34,-0.45,-0.62
1927,-0.22,-0.13,-0.3,-0.13,-0.16,-0.38,0.02,-0.22,-0.12,-0.15,-0.18,-0.3,-0.45,-1.36
1928,-0.2,-0.1,-0.3,-0.06,-0.16,-0.39,0.72,-0.17,-0.22,-0.15,-0.17,-0.29,-0.48,-2.11
1929,-0.36,-0.34,-0.38,-0.37,-0.29,-0.45,0.15,-0.62,-0.37,-0.28,-0.29,-0.42,-0.44,-1.06
1930,-0.16,-0.02,-0.29,0.04,-0.12,-0.42,0.54,0.04,-0.1,-0.1,-0.13,-0.33,-0.47,-2.58
1931,-0.1,0.04,-0.22,0.01,0.07,-0.42,0.57,-0.04,-0.14,0.09,0.04,-0.42,-0.4,-0.4
1932,-0.16,-0.06,-0.26,0.04,-0.18,-0.35,0.49,0.19,-0.21,-0.2,-0.15,-0.21,-0.53,-0.97
1933,-0.29,-0.26,-0.32,-0.24,-0.29,-0.34,-0.16,-0.47,-0.12,-0.29,-0.29,-0.21,-0.48,-1.13
1934,-0.13,0,-0.26,0.17,-0.26,-0.26,0.88,0.3,-0.13,-0.26,-0.26,-0.16,-0.38,-0.55
1935,-0.2,-0.1,-0.3,-0.05,-0.19,-0.37,0.35,-0.05,-0.16,-0.17,-0.21,-0.3,-0.41,-1.7
1936,-0.15,-0.04,-0.27,-0.03,-0.14,-0.3,0.4,0.1,-0.25,-0.06,-0.22,-0.26,-0.33,-0.02
1937,-0.03,0.12,-0.18,0.2,-0.06,-0.22,1.24,0.02,-0.03,0,-0.13,-0.19,-0.25,0.38
1938,-0.01,0.16,-0.18,0.39,-0.23,-0.1,1.51,0.38,0.03,-0.18,-0.28,-0.06,-0.11,-0.85
1939,-0.02,0.09,-0.13,0.22,-0.12,-0.12,0.57,0.28,0.08,-0.11,-0.14,-0.04,-0.19,-1.59
1940,0.12,0.17,0.09,0.11,0.28,-0.07,1,-0.03,-0.09,0.27,0.28,0.03,-0.2,-0.04
1941,0.18,0.23,0.16,0.01,0.49,-0.05,0.01,-0.1,0.08,0.55,0.43,0.04,-0.15,-0.45
1942,0.06,0.12,0,0.13,0.07,-0.01,0.73,-0.07,0.06,0.12,0.03,0.06,-0.05,-0.88
1943,0.09,0.18,-0.01,0.37,-0.09,0.04,1.42,0.28,0.1,-0.1,-0.07,0.07,0,1.15
1944,0.2,0.27,0.14,0.38,0.18,0.05,1.18,0.46,0.09,0.11,0.26,0.19,-0.1,-0.92
1945,0.09,0.1,0.09,0.11,0.17,-0.03,0.63,-0.03,0.04,0.1,0.23,0.04,0,-1.76
1946,-0.07,0.03,-0.17,0.06,-0.05,-0.24,-0.03,-0.05,0.16,-0.03,-0.08,-0.22,-0.24,-0.15
1947,-0.03,0.08,-0.14,0.15,-0.07,-0.16,1.07,-0.14,0.04,-0.03,-0.1,-0.19,-0.08,-0.19
1948,-0.11,-0.02,-0.2,0.12,-0.19,-0.24,0.12,0.31,0,-0.23,-0.15,-0.19,-0.19,-1.35
1949,-0.11,-0.03,-0.2,0.11,-0.19,-0.23,0.21,0.16,0.05,-0.23,-0.15,-0.17,-0.15,-1.95
1950,-0.18,-0.15,-0.21,-0.05,-0.29,-0.14,0.19,-0.31,0.04,-0.31,-0.28,-0.06,-0.16,-0.85
1951,-0.07,0.04,-0.18,0.08,-0.06,-0.23,0.08,0.01,0.12,-0.01,-0.12,-0.22,-0.16,-0.69
1952,0.01,0.06,-0.04,0.11,0.01,-0.09,0.27,-0.1,0.18,-0.01,0.04,-0.1,-0.02,-0.49
1953,0.08,0.24,-0.08,0.35,0.07,-0.18,1.02,0.35,0.14,0.08,0.06,-0.08,-0.24,-1.08
1954,-0.13,-0.02,-0.25,0.06,-0.22,-0.22,0.8,-0.21,0,-0.14,-0.29,-0.17,-0.2,-0.8
1955,-0.14,-0.1,-0.21,0.04,-0.34,-0.06,-0.24,-0.11,0.23,-0.3,-0.39,-0.16,-0.08,1.23
1956,-0.19,-0.23,-0.16,-0.2,-0.33,0.01,0.01,-0.47,-0.09,-0.29,-0.38,-0.13,0.02,0.77
1957,0.05,0.04,0.05,0.03,0.08,0.02,0.09,0.22,-0.11,0.05,0.1,-0.09,-0.02,0.49
1958,0.06,0.15,-0.03,0.08,0.2,-0.15,-0.17,0.14,0.12,0.26,0.15,-0.08,-0.08,-0.53
1959,0.03,0.12,-0.06,0.16,0.07,-0.16,0.49,0.18,0.05,0.07,0.08,-0.03,-0.26,-0.36
1960,-0.03,0.08,-0.13,0.09,0.02,-0.2,0.34,-0.07,0.11,0.06,-0.03,-0.1,-0.07,-0.76
1961,0.06,0.09,0.03,0.19,-0.03,0.05,-0.15,0.38,0.18,-0.07,0,0.14,-0.17,0.21
1962,0.03,0.13,-0.06,0.24,-0.05,-0.08,0.44,0.31,0.14,-0.04,-0.05,0.09,-0.07,-0.66
1963,0.05,0.14,-0.03,0.14,0.12,-0.12,-0.16,0.31,0.13,0.13,0.1,-0.1,-0.17,-0.04
1964,-0.2,-0.19,-0.2,-0.23,-0.14,-0.24,-0.67,-0.2,-0.11,-0.14,-0.14,-0.3,-0.07,-0.38
1965,-0.11,-0.14,-0.07,-0.18,-0.03,-0.13,-0.28,-0.24,-0.12,-0.08,0.02,-0.23,-0.03,-0.01
1966,-0.06,-0.02,-0.09,-0.14,0.08,-0.15,-0.76,-0.19,0.09,0.16,0,-0.23,-0.13,0.11
1967,-0.02,0.03,-0.07,0.12,-0.14,-0.01,0.36,0.26,-0.05,-0.11,-0.17,-0.09,-0.02,0.3
1968,-0.08,-0.07,-0.09,-0.1,-0.06,-0.08,-0.33,-0.02,-0.09,-0.02,-0.11,-0.14,0,-0.06
1969,0.05,-0.03,0.15,-0.29,0.34,0.02,-0.04,-0.61,-0.17,0.35,0.32,0,0.13,-0.14
1970,0.03,-0.04,0.09,-0.11,0.07,0.11,-0.21,-0.13,-0.06,0.07,0.07,0.11,0.03,0.31
1971,-0.08,-0.15,-0.02,-0.06,-0.26,0.13,-0.08,0.02,-0.1,-0.29,-0.22,0.03,0.16,0.43
1972,0.01,-0.17,0.2,-0.34,0.17,0.14,-0.36,-0.47,-0.25,0.07,0.27,0.16,-0.02,0.44
1973,0.16,0.09,0.23,0.11,0.19,0.18,0.07,0.27,0.02,0.08,0.3,0.21,0.07,0.34
1974,-0.07,-0.18,0.03,-0.14,-0.2,0.17,-0.19,-0.07,-0.18,-0.23,-0.17,0.21,-0.08,0.65
1975,-0.01,-0.05,0.02,0.12,-0.24,0.15,0.09,0.39,-0.05,-0.3,-0.17,0.13,0.14,0.28
1976,-0.1,-0.21,0.01,-0.26,-0.11,0.08,-0.08,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.24
1977,0.18,0.12,0.24,0.14,0.16,0.25,0.16,0.24,0.06,0.1,0.22,0.21,0.31,0.27
1978,0.07,0.02,0.11,-0.03,0.08,0.16,-0.16,0.04,-0.04,0.1,0.05,0.2,0.13,0.04
1979,0.16,0.08,0.25,-0.03,0.26,0.23,-0.6,0.07,0.09,0.25,0.27,0.29,0.33,-0.21
1980,0.26,0.17,0.35,0.06,0.31,0.39,0.25,0.02,0.02,0.33,0.29,0.35,0.37,0.58
1981,0.32,0.37,0.27,0.48,0.18,0.36,1.09,0.79,0.08,0.22,0.15,0.28,0.38,0.6
1982,0.14,0.06,0.23,-0.08,0.27,0.18,-0.4,0.1,-0.08,0.25,0.29,0.18,0.32,-0.11
1983,0.31,0.25,0.38,0.22,0.43,0.24,0.19,0.69,-0.07,0.29,0.58,0.21,0.41,0.04
1984,0.16,0.04,0.28,0.02,0.18,0.26,0.36,0.08,-0.13,0.07,0.3,0.16,0.32,0.52
1985,0.12,0,0.24,-0.03,0.09,0.3,0.39,-0.26,-0.02,0.04,0.14,0.3,0.44,0.04
1986,0.18,0.13,0.23,0.11,0.22,0.19,0.01,0.28,0.03,0.17,0.27,0.25,0.25,-0.12
1987,0.32,0.25,0.4,0.04,0.58,0.25,-0.36,0.13,0.12,0.55,0.62,0.32,0.25,0.01
1988,0.39,0.37,0.4,0.4,0.37,0.39,0.59,0.57,0.24,0.32,0.42,0.38,0.2,0.86
1989,0.27,0.27,0.27,0.41,0.13,0.33,0.34,0.69,0.25,0.07,0.19,0.36,0.3,0.34
1990,0.45,0.53,0.37,0.63,0.37,0.37,0.58,0.89,0.49,0.38,0.36,0.37,0.37,0.37
1991,0.41,0.41,0.4,0.47,0.36,0.39,0.75,0.66,0.26,0.32,0.41,0.31,0.29,0.96
1992,0.22,0.14,0.31,0.1,0.28,0.26,-0.16,0.44,-0.03,0.2,0.37,0.2,0.33,0.38
1993,0.23,0.19,0.28,0.13,0.32,0.22,0.55,0.3,-0.11,0.29,0.35,0.26,0.39,-0.3
1994,0.32,0.37,0.26,0.44,0.31,0.2,0.34,0.5,0.42,0.28,0.34,0.26,0.23,-0.05
1995,0.45,0.58,0.32,0.7,0.43,0.22,1.31,0.99,0.32,0.41,0.45,0.29,0.15,0.14
1996,0.33,0.27,0.39,0.24,0.32,0.43,0.77,0.17,0.11,0.31,0.32,0.32,0.28,1.2
1997,0.46,0.52,0.41,0.54,0.51,0.33,0.77,0.91,0.23,0.5,0.52,0.42,0.36,-0.01
1998,0.61,0.71,0.52,0.78,0.69,0.33,0.87,0.95,0.66,0.6,0.79,0.39,0.31,0.15
1999,0.38,0.48,0.28,0.71,0.2,0.3,0.41,0.81,0.74,0.15,0.25,0.46,0.19,0.03
2000,0.39,0.5,0.29,0.7,0.24,0.29,0.98,0.8,0.55,0.2,0.28,0.41,0.1,0.26
2001,0.54,0.64,0.43,0.81,0.42,0.43,1.07,0.87,0.69,0.4,0.44,0.58,0.24,0.31
2002,0.63,0.72,0.54,0.83,0.59,0.47,1.26,1.01,0.58,0.55,0.63,0.49,0.31,0.77
2003,0.62,0.75,0.49,0.84,0.64,0.37,1.5,0.99,0.54,0.61,0.66,0.44,0.24,0.43
2004,0.54,0.66,0.42,0.73,0.55,0.33,0.47,0.96,0.67,0.56,0.53,0.48,0.23,0.04
2005,0.68,0.86,0.5,1.02,0.62,0.42,1.99,1.23,0.57,0.62,0.62,0.49,0.18,0.69
2006,0.64,0.82,0.46,0.99,0.56,0.4,1.74,1.06,0.7,0.57,0.54,0.51,0.19,0.47
2007,0.67,0.86,0.48,1.13,0.46,0.48,2.12,1.33,0.69,0.45,0.47,0.5,0.07,1.27
2008,0.55,0.68,0.4,0.92,0.38,0.39,1.55,1.08,0.62,0.34,0.41,0.52,0.09,0.62
2009,0.66,0.73,0.59,0.78,0.68,0.52,1.43,0.61,0.69,0.65,0.7,0.6,0.15,1
2010,0.72,0.91,0.54,1.03,0.68,0.47,2.23,0.87,0.74,0.72,0.65,0.63,0.2,0.49
2011,0.61,0.75,0.46,0.99,0.37,0.55,2.36,0.94,0.58,0.39,0.35,0.64,0.18,1.03
2012,0.65,0.82,0.47,1.05,0.52,0.41,2.23,0.94,0.75,0.48,0.56,0.56,0.19,0.32
2013,0.68,0.81,0.55,0.96,0.58,0.54,1.56,1.05,0.7,0.58,0.57,0.63,0.22,0.91
2014,0.75,0.93,0.57,1.09,0.67,0.52,2.05,1.14,0.74,0.69,0.65,0.72,0.18,0.56
2015,0.9,1.18,0.62,1.32,0.96,0.4,2.01,1.49,1,0.98,0.93,0.75,0.18,-0.35
2016,1.02,1.31,0.73,1.55,1.01,0.49,3.26,1.44,1.08,0.96,1.07,0.67,0.25,0.38
2017,0.93,1.19,0.67,1.4,0.82,0.59,2.53,1.39,1.05,0.87,0.77,0.76,0.35,0.52
2018,0.85,1.04,0.66,1.26,0.68,0.68,2.16,1.1,1.06,0.73,0.62,0.8,0.37,0.93
2019,0.98,1.22,0.75,1.43,0.9,0.65,2.73,1.44,1.01,0.91,0.89,0.75,0.39,0.86
2020,1.02,1.36,0.68,1.68,0.87,0.57,2.92,1.82,1.2,0.89,0.84,0.58,0.39,0.88
