Ident,runway,city,state,type,predicted_MTBO,projected_MTBO,last_MTBO,hours_since_last_outage,region,tier
GGZ,23,AKRON,OH,GS,5979,6266,3956,19879,GL,3,2710
GGZ,23,AKRON,OH,LOC,4173,4215,4105,3893,GL,3,2710
GHI,27,HOUSTON,TX,GS,21980,23970,21456,14475,SW,1,2710
GHI,27,HOUSTON,TX,LOC,6835,7488,8848,8529,SW,1,2710
GHO,09R,PALM B GARDEN,FL,GS,8848,8647,8574,6825,SO,3,2710
GHO,09R,PALM B GARDEN,FL,LOC,8216,8721,7737,5951,SO,3,2710
GJC,05,COLUMBIA,SC,GS,7005,0,3886,27637,SO,3,2710
GJC,05,COLUMBIA,SC,LOC,3861,3089,3954,389,SO,3,2710
GJT,11,GRAND JCT,CO,GS,340,0,453,220,NM,3,2710
GJT,11,GRAND JCT,CO,LOC,6931,6260,3469,19372,NM,3,2710
GKJ,25,MEADVILLE,PA,LOC,2550,1459,1257,7490,EA,3,2710
GKK,05L,RALEIGH,NC,GS,4066,4090,3238,5460,SO,2,2710
GKK,05L,RALEIGH,NC,LOC,2994,3189,2507,3286,SO,2,2710
GKV,07,FORT SMITH,AR,GS,21104,24220,22690,22443,SW,3,2710
GKV,07,FORT SMITH,AR,LOC,3844,3909,4360,637,SW,3,2710
GKY,34,ARLINGTON,TX,GS,18327,19152,17190,20041,SW,3,2710
GKY,34,ARLINGTON,TX,LOC,22977,26340,18409,28081,SW,3,2710
GLC,27L,PHILADELPHIA,PA,GS,26090,28844,23991,19257,EA,1,2710
GLC,27L,PHILADELPHIA,PA,LOC,4727,4320,1190,20257,EA,1,2710
GLD,30,GOODLAND,KS,GS,16036,21184,18821,5648,CE,3,2710
GLD,30,GOODLAND,KS,LOC,6874,7558,6372,4061,CE,3,2710
GLH,18L,GREENVILLE,MS,GS,4462,5335,4407,2431,SO,3,2710
GLH,18L,GREENVILLE,MS,LOC,3488,3996,3016,3104,SO,3,2710
GLR,09,GAYLORD,MI,GS,11914,14050,14835,7640,GL,3,2710
GLR,09,GAYLORD,MI,LOC,8441,8014,6345,10642,GL,3,2710
GLS,14,GALVESTON,TX,GS,10517,10883,7771,13735,SW,3,2710
GLS,14,GALVESTON,TX,LOC,9468,9330,9410,412,SW,3,2710
GLW,08,GLASGOW,KY,LOC,392304,-1,-1,392304,SO,,2710
GMF,07R,MILWAUKEE,WI,GS,2155,654,1215,4706,GL,2,2710
GMF,07R,MILWAUKEE,WI,LOC,5236,5012,3446,9318,GL,2,2710
GMU,01,GREENVILLE,SC,GS,5765,6282,6000,2250,SO,3,2710
GMU,01,GREENVILLE,SC,LOC,4842,4686,3746,5673,SO,3,2710
GMX,24,WILMINGTON,NC,GS,12625,13547,11447,6028,SO,3,2710
GMX,24,WILMINGTON,NC,LOC,5204,2842,2634,12875,SO,3,2710
GNF,13,GRENADA,MS,GS,217728,-1,-1,217728,SO,,2710
GNF,13,GRENADA,MS,LOC,54316,47332,51741,62042,SO,,2710
GNJ,22,LEXINGTON,KY,GS,2000,1234,1582,2235,SO,3,2710
GNJ,22,LEXINGTON,KY,LOC,803,424,404,2235,SO,3,2710
GNK,31,LAGRANGE,GA,GS,11589,10953,5243,34304,SO,1,2710
GNK,31,LAGRANGE,GA,LOC,18748,17625,11378,44241,SO,1,2710
GNM,06,WILMINGTON,NC,GS,7735,7925,5347,11985,SO,3,2710
GNM,06,WILMINGTON,NC,LOC,8882,8117,7077,9031,SO,3,2710
GNV,29,GAINESVILLE,FL,GS,4548,5543,5742,6771,SO,3,2710
GNV,29,GAINESVILLE,FL,LOC,13281,15064,13226,3269,SO,3,2710
GON,05,GROTON,CT,GS,11362,10642,7176,21004,NE,3,2710
GON,05,GROTON,CT,LOC,9896,10772,10235,2745,NE,3,2710
GPE,06R,LOS ANGELES,CA,GS,11801,12205,10119,8429,WP,1,2710
GPE,06R,LOS ANGELES,CA,LOC,14656,15638,12344,21657,WP,1,2710
GPI,02,KALISPELL,MT,GS,15640,0,12353,18203,NM,3,2710
GPI,02,KALISPELL,MT,LOC,9167,9579,3457,28595,NM,3,2710
GPO,21,PORTLAND,OR,LOC,27385,30619,25569,17858,NM,2,2710
GPR,11,NEWARK,NJ,GS,5524,5565,2281,17286,EA,1,2710
GPR,11,NEWARK,NJ,LOC,3334,2856,1158,16231,EA,1,2710
GPT,14,GULFPORT,MS,GS,5577,5612,5015,5120,SO,3,2710
GPT,14,GULFPORT,MS,LOC,4119,1536,4026,9444,SO,3,2710
GPZ,34,GRAND RAPIDS,MN,GS,10808,13641,13528,15071,GL,3,2710
GPZ,34,GRAND RAPIDS,MN,LOC,10658,12655,11393,15071,GL,3,2710
GQR,03,KANSAS CITY,MO,GS,2564,3268,3879,992,CE,3,2710
GQR,03,KANSAS CITY,MO,LOC,6440,6820,5977,5572,CE,3,2710
GQZ,19L,CAMP SPRINGS,MD,GS,10637,12164,10501,15943,EA,1,2710
GQZ,19L,CAMP SPRINGS,MD,LOC,10313,10346,7128,20428,EA,1,2710
GRA,04,FAYETTEVILLE,NC,GS,3283,2785,2779,4497,SO,3,2710
GRA,04,FAYETTEVILLE,NC,LOC,2278,2573,2295,416,SO,3,2710
GRB,06,GREEN BAY,WI,GS,3306,3181,4446,11815,GL,3,2710
GRB,06,GREEN BAY,WI,LOC,7334,7651,7399,1233,GL,3,2710
GRI,35,GRAND ISLAND,NE,GS,3082,1903,2411,4300,CE,3,2710
GRI,35,GRAND ISLAND,NE,LOC,3768,5328,5335,220,CE,3,2710
GRR,26L,GRAND RAPIDS,MI,GS,12642,13047,12550,1139,GL,3,2710
GRR,26L,GRAND RAPIDS,MI,LOC,1736,3009,3068,1473,GL,3,2710
GSH,27,GOSHEN,IN,GS,95623,116317,142917,1037,GL,X,2710
GSH,27,GOSHEN,IN,LOC,115040,127349,172041,1037,GL,X,2710
GSN,07,SAIPAN OBYAN,CQ,GS,3286,3778,3006,1727,WP,3,2710
GSN,07,SAIPAN OBYAN,CQ,LOC,3357,3455,3030,1727,WP,3,2710
GSO,14,GREENSBORO,NC,GS,55290,56174,20162,125547,SO,,2710
GSO,14,GREENSBORO,NC,LOC,30052,30296,7557,113964,SO,X,2710
GSP,04,GREER,SC,GS,22007,21828,14397,39965,SO,3,2710
GSP,04,GREER,SC,LOC,12221,13796,13740,25539,SO,3,2710
GTR,18,COLUMBUS,MS,GS,6443,7315,6091,5310,SO,3,2710
GTR,18,COLUMBUS,MS,LOC,12371,17918,20161,747,SO,3,2710
GUC,06,GUNNISON,CO,GS,5914,6251,5711,1637,NM,3,2710
GUC,06,GUNNISON,CO,LOC,3023,3372,1159,9319,NM,3,2710
GUH,31,ST AUGUSTINE,FL,GS,4486,0,5786,6726,SO,X,2710
GUH,31,ST AUGUSTINE,FL,LOC,54618,66137,78532,6790,SO,X,2710
GUM,06L,GUAM AGANA,GU,GS,5457,5021,2300,16176,WP,3,2710
GUM,06L,GUAM AGANA,GU,LOC,10209,10618,4638,27858,WP,3,2710
GUP,06,GALLUP,NM,LOC,27739,27937,21904,35548,SW,3,2710
GUT,10R,PITTSBURGH,PA,GS,14327,20950,18319,558,EA,2,2710
GUT,10R,PITTSBURGH,PA,LOC,6658,6967,6446,1111,EA,2,2710
GUW,24,ALLENTOWN,PA,GS,2823,3088,4104,1470,EA,3,2710
GUW,24,ALLENTOWN,PA,LOC,2366,739,4518,4408,EA,3,2710
GVK,02L,WEST CHICAGO,IL,GS,3424,3856,2865,5404,GL,3,2710
GVK,02L,WEST CHICAGO,IL,LOC,2474,2079,1699,4899,GL,3,2710
GVL,05,GAINESVILLE,GA,GS,9317,10626,10444,2573,SO,1,2710
GVL,05,GAINESVILLE,GA,LOC,21005,20846,15983,25180,SO,1,2710
GVQ,28,BATAVIA,NY,GS,13762,14845,13134,8192,EA,3,2710
GVQ,28,BATAVIA,NY,LOC,1486,1123,745,4589,EA,3,2710
GVT,17,GREENVILLE,TX,GS,60888,-1,-1,60888,SW,X,2710
GVT,17,GREENVILLE,TX,LOC,60888,-1,-1,60888,SW,X,2710
GWA,14,SPRINGFIELD,MO,GS,12273,11566,11566,17355,CE,3,2710
GWA,14,SPRINGFIELD,MO,LOC,3468,2854,1859,11962,CE,3,2710
GWB,27,AUBURN,IN,GS,4428,0,3279,6512,GL,3,2710
GWB,27,AUBURN,IN,LOC,20315,20766,16201,21891,GL,3,2710
GWO,18,GREENWOOD,MS,GS,1852,2256,1617,2427,SO,1,2710
GWO,18,GREENWOOD,MS,LOC,697,0,471,2573,SO,1,2710
GWQ,28R,SAN FRANCISCO,CA,GS,3109,1309,1182,9842,WP,1,2710
GWQ,28R,SAN FRANCISCO,CA,LOC,3001,1175,1485,8664,WP,1,2710
GXZ,26R,ATLANTA,GA,GS,22068,18767,14047,45724,SO,1,2710
GXZ,26R,ATLANTA,GA,LOC,22071,21652,13972,46107,SO,1,2710
GYH,05,GREENVILLE,SC,GS,19470,12146,18229,7903,SO,X,2710
GYH,05,GREENVILLE,SC,LOC,4633,4507,2915,8771,SO,X,2710
GYI,17L,SHERMAN-DENIS,TX,GS,94617,82720,174591,14643,SW,X,2710
GYI,17L,SHERMAN-DENIS,TX,LOC,189312,-1,-1,189312,SW,X,2710
GYY,30,GARY,IN,GS,10028,10463,7410,13133,GL,3,2710
GYY,30,GARY,IN,LOC,9764,7003,5058,26788,GL,3,2710
GZX,13,PEORIA,IL,GS,3016,2696,2306,3560,GL,3,2710
GZX,13,PEORIA,IL,LOC,2113,2539,1628,2480,GL,3,2710
HBJ,06,BURLINGTON,NC,GS,14281,17419,16827,17574,SO,3,2710
HBJ,06,BURLINGTON,NC,LOC,9641,10677,12654,17553,SO,3,2710
HBQ,01,ROME,GA,GS,9959,10904,4796,20285,SO,X,2710
HBQ,01,ROME,GA,LOC,222864,-1,-1,222864,SO,X,2710
HCE,36R,AUSTIN,TX,GS,13558,11081,20756,6359,SW,2,2710
HCE,36R,AUSTIN,TX,LOC,13558,0,25633,1483,SW,2,2710
HCV,05,CHARLESTON,WV,GS,3855,5176,5374,9468,EA,3,2710
HCV,05,CHARLESTON,WV,LOC,1475,1677,244,6293,EA,3,2710
HDN,10,HAYDEN,CO,GS,2159,2507,2279,1440,NM,3,2710
HDN,10,HAYDEN,CO,LOC,4266,2693,1721,12847,NM,1,2710
HEF,16L,MANASSAS,VA,GS,3155,2633,2028,5650,EA,3,2710
HEF,16L,MANASSAS,VA,LOC,2270,1702,533,8793,EA,3,2710
HEV,22,SHEBOYGAN,WI,GS,7858,7633,8125,6819,GL,3,2710
HEV,22,SHEBOYGAN,WI,LOC,22597,20844,10451,76566,GL,3,2710
HEW,17R,HOUSTON,TX,LOC,342648,-1,-1,342648,SW,X,2710
HEZ,13,NATCHEZ,MS,GS,12939,14182,13508,5357,SO,3,2710
HEZ,13,NATCHEZ,MS,LOC,5246,4890,4447,5357,SO,3,2710
HFD,02,HARTFORD,CT,LOC,7018,7680,6398,5884,NE,3,2710
HFE,28R,PITTSBURGH,PA,GS,35273,41171,26268,53788,EA,2,2710
HFE,28R,PITTSBURGH,PA,LOC,12722,13525,13142,483,EA,2,2710
HFW,08L,ATLANTA,GA,GS,28496,31079,28207,16540,SO,1,2710
HFW,08L,ATLANTA,GA,LOC,11165,10847,7901,16540,SO,1,2710
HGR,27,HAGERSTOWN,MD,GS,3217,3427,2471,3751,EA,3,2710
HGR,27,HAGERSTOWN,MD,LOC,5583,6474,5584,1129,EA,3,2710
HHR,25,HAWTHORNE,CA,LOC,8517,10967,10070,5451,WP,3,2710
HIB,31,HIBBING,MN,GS,3573,3709,3505,2018,GL,3,2710
HIB,31,HIBBING,MN,LOC,4110,3926,3875,1519,GL,3,2710
HIE,10,WHITEFIELD,NH,LOC,130796,109864,162053,68283,NE,,2710
HIH,23L,GREENSBORO,NC,GS,22141,21184,17166,33197,SO,3,2710
HIH,23L,GREENSBORO,NC,LOC,12454,12187,8055,24724,SO,3,2710
HIO,13R,HILLSBORO,OR,GS,6521,6665,6820,4103,NM,3,2710
HIO,13R,HILLSBORO,OR,LOC,1310,0,997,2000,NM,3,2710
HIQ,04L,JAMAICA,NY,GS,9969,11721,12936,846,EA,1,2710
HIQ,04L,JAMAICA,NY,LOC,15604,17352,11473,28057,EA,1,2710
HJT,04L,ROMULUS,MI,GS,13510,14285,12557,4772,GL,1,2710
HJT,04L,ROMULUS,MI,LOC,23306,23247,8677,74156,GL,1,2710
HKH,04R,CHICAGO,IL,GS,15632,17275,14684,5237,GL,1,2710
HKH,04R,CHICAGO,IL,LOC,15646,15121,11319,21652,GL,1,2710
HKY,24,HICKORY,NC,GS,6892,10349,15843,8285,SO,3,2710
HKY,24,HICKORY,NC,LOC,5108,5360,916,23741,SO,3,2710
HKZ,12R,MINNEAPOLIS,MN,GS,17379,17440,14877,17820,GL,1,2710
HKZ,12R,MINNEAPOLIS,MN,LOC,5539,6706,5819,310,GL,1,2710
HLG,03,WHEELING,WV,GS,1080,0,1943,2403,EA,3,2710
HLG,03,WHEELING,WV,LOC,4665,4801,4435,1255,EA,3,2710
HLN,27,HELENA,MT,GS,11326,10086,7779,20428,NM,3,2710
HLN,27,HELENA,MT,LOC,3342,3354,3265,5478,NM,3,2710
HNA,04L,CHICAGO,IL,LOC,42341,49157,34377,66234,GL,,2710
HNL,08L,OAHU HONOLULU,HI,GS,4823,6210,5432,4900,WP,1,2710
HNL,08L,OAHU HONOLULU,HI,LOC,6417,6861,5353,5636,WP,1,2710
HNQ,17,SHAWNEE,OK,GS,4832,8419,4207,3123,SW,3,2710
HNQ,17,SHAWNEE,OK,LOC,6181,5414,2855,17317,SW,3,2710
HNZ,06,OXFORD,NC,LOC,52121,53932,64707,1779,EA,X,2710
HOB,03,HOBBS,NM,GS,5951,6497,6208,893,SW,3,2710
HOB,03,HOBBS,NM,LOC,11029,11142,3755,36387,SW,3,2710
HOM,04,HOMER,AK,LOC,703,0,976,1736,AL,3,2710
HON,12,HURON,SD,GS,4689,3513,4429,6678,GL,3,2710
HON,12,HURON,SD,LOC,2186,2066,832,6939,GL,3,2710
HOT,05,HOT SPRINGS,AR,GS,1558,1233,1874,6938,SW,3,2710
HOT,05,HOT SPRINGS,AR,LOC,2868,1878,1446,8136,SW,3,2710
HOV,19R,WICHITA,KS,GS,4429,0,5338,7641,CE,3,2710
HOV,19R,WICHITA,KS,LOC,6018,4191,6509,2480,CE,3,2710
HOX,29,NEW ORLEANS,LA,GS,9944,10356,7757,11522,SW,2,2710
HOX,29,NEW ORLEANS,LA,LOC,5880,6052,2209,19620,SW,2,2710
HPF,18,HAMMOND,LA,GS,6942,7845,6903,3382,SW,2,2710
HPF,18,HAMMOND,LA,LOC,4334,4411,1990,12128,SW,2,2710
HPI,24L,CLEVELAND,OH,GS,15132,15243,10202,30629,GL,2,2710
HPI,24L,CLEVELAND,OH,LOC,16131,17186,12027,21875,GL,2,2710
HPN,16,WHITE PLAINS,NY,GS,5399,5410,5361,2041,EA,3,2710
HPN,16,WHITE PLAINS,NY,LOC,9588,10900,9050,8254,EA,3,2710
HQA,31,MIDDLETOWN,PA,GS,2358,2618,1004,8623,EA,3,2710
HQA,31,MIDDLETOWN,PA,LOC,169,304,115,294,EA,3,2710
HQB,24L,LOS ANGELES,CA,GS,6887,5711,2625,21418,WP,1,2710
HQB,24L,LOS ANGELES,CA,LOC,6623,6551,5398,6503,WP,1,2710
HQM,24,HOQUIAM,WA,GS,8280,8495,7170,5958,NM,3,2710
HQM,24,HOQUIAM,WA,LOC,2238,1504,1207,5232,NM,3,2710
HQW,28,SAGINAW,MI,GS,5195,8230,8188,409,GL,3,2710
HQW,28,SAGINAW,MI,LOC,14759,15237,15449,2101,GL,3,2710
HQZ,18,MESQUITE,TX,GS,110652,108939,159209,62094,SW,X,2710
HQZ,18,MESQUITE,TX,LOC,16702,10917,13676,23375,SW,X,2710
HRJ,05,ERWIN,NC,LOC,15501,15194,7305,47836,SO,3,2710
HRL,17R,HARLINGEN,TX,GS,5446,5704,5380,10373,SW,3,2710
HRL,17R,HARLINGEN,TX,LOC,1015,1067,857,3122,SW,3,2710
HRO,36,HARRISON,AR,GS,3948,4065,5208,9798,SW,3,2710
HRO,36,HARRISON,AR,LOC,21355,21769,16419,31548,SW,3,2710
HSA,18,BAY ST. LOUIS,MS,GS,17048,18250,18432,753,SO,3,2710
HSA,18,BAY ST. LOUIS,MS,LOC,1590,6368,6388,753,SO,3,2710
HSD,17,OKLAHOMA CITY,OK,LOC,68171,68718,45329,91013,CE,X,2710
HSP,25,HOT SPRINGS,VA,GS,11176,9454,6835,22015,EA,3,2710
HSP,25,HOT SPRINGS,VA,LOC,2056,2055,2011,3777,EA,3,2710
HSV,18R,HUNTSVILLE,AL,GS,16611,18549,18235,18841,SO,3,2710
HSV,18R,HUNTSVILLE,AL,LOC,12133,13753,11275,8838,SO,3,2710
HTS,12,HUNTINGTON,WV,GS,776,473,765,1200,EA,3,2710
HTS,12,HUNTINGTON,WV,LOC,1314,1296,2808,2741,EA,3,2710
HTY,20,HAYWARD,WI,GS,6221,7018,5108,8447,GL,3,2710
HTY,21,HAYWARD,WI,LOC,13053,22717,27867,1922,GL,3,2710
HUB,04,HOUSTON,TX,GS,21662,25252,23260,11215,SW,2,2710
HUB,04,HOUSTON,TX,LOC,3682,3979,4159,5426,SW,2,2710
HUF,05,TERRE HAUTE,IN,GS,2047,2085,1966,1008,GL,3,2710
HUF,05,TERRE HAUTE,IN,LOC,1833,2205,233,8003,GL,3,2710
HUM,18,HOUMA,LA,GS,2267,3324,5252,654,SW,3,2710
HUM,18,HOUMA,LA,LOC,3851,8837,10300,464,SW,3,2710
HUT,13,HUTCHINSON,KS,GS,33857,35673,32221,19426,CE,3,2710
HUT,13,HUTCHINSON,KS,LOC,1080,1048,794,1586,CE,3,2710
HUU,03R,ROMULUS,MI,GS,5944,2664,3343,14738,GL,1,2710
HUU,03R,ROMULUS,MI,LOC,14149,13755,8939,27514,GL,1,2710
HUV,02,EASTMAN,GA,GS,45913,52191,68733,273,SO,X,2710
HUV,02,EASTMAN,GA,LOC,34433,35739,45820,273,SO,X,2710
HUX,35L,SACRAMENTO,CA,GS,3118,3926,10092,2591,WP,2,2710
HUX,35L,SACRAMENTO,CA,LOC,3118,272,9719,5738,WP,2,2710
HVC,26,HOPKINSVILLE,KY,LOC,362376,-1,-1,362376,SO,,2710
HVD,05,FORT WAYNE,IN,GS,17939,21507,19554,11866,GL,3,2710
HVD,05,FORT WAYNE,IN,LOC,7503,10167,11358,3294,GL,3,2710
HVN,02,NEW HAVEN,CT,GS,9532,10325,7108,22855,NE,3,2710
HVN,02,NEW HAVEN,CT,LOC,5793,6173,4150,8336,NE,3,2710
HWD,28L,HAYWARD,CA,LOC,19017,19746,15551,40878,WP,3,2710
HWG,12L,NO LAS VEGAS,NV,GS,8983,13363,15672,8312,WP,3,2710
HWG,12L,NO LAS VEGAS,NV,LOC,6547,5705,4917,8312,WP,3,2710
HWM,04L,WILMINGTON,OH,GS,157848,-1,-1,157848,GL,X,2710
HWM,04L,WILMINGTON,OH,LOC,78575,79001,59582,97567,GL,X,2710
HWV,06,SHIRLEY,NY,GS,4921,6079,5554,364,EA,1,2710
HWV,06,SHIRLEY,NY,LOC,8939,10292,11198,779,EA,1,2710
HWY,15,WARRENTON,VA,LOC,83280,-1,-1,83280,EA,X,2710
HXD,21,HILTON HEAD,SC,LOC,9827,9737,6563,16355,SO,3,2710
HYA,24,HYANNIS,MA,GS,4335,4614,3220,5670,NE,3,2710
HYA,24,HYANNIS,MA,LOC,2051,2345,2824,5670,NE,3,2710
HYS,34,HAYS,KS,GS,1710,1617,1591,3557,CE,3,2710
HYS,34,HAYS,KS,LOC,6750,7121,3254,24893,CE,3,2710
HYZ,31,THIEF RIVER,MN,GS,30217,30331,23836,35623,GL,2,2710
HYZ,31,THIEF RIVER,MN,LOC,7104,7380,6551,2812,GL,2,2710
HZK,09L,ATLANTA,GA,GS,62171,63183,8796,115545,SO,1,2710
HZK,09L,ATLANTA,GA,LOC,1718,1886,143,8079,SO,1,2710
HZL,28,HAZLETON,PA,LOC,14382,12696,11922,17337,EA,3,2710
HZR,36,NEW ROADS,LA,LOC,173904,-1,-1,173904,SW,X,2710
IAC,27L,CHICAGO,IL,GS,9157,10192,8605,10029,GL,1,2710
IAC,27L,CHICAGO,IL,LOC,7229,7211,5285,10154,GL,1,2710
IAD,01R,DULLES,VA,GS,5596,3843,5144,5595,EA,1,2710
IAD,01R,DULLES,VA,LOC,11075,10698,8695,12050,EA,1,2710
IAG,28R,NIAGARA FALLS,NY,GS,4638,4368,3100,9828,EA,3,2710
IAG,28R,NIAGARA FALLS,NY,LOC,2694,2992,2084,3082,EA,3,2710
IAH,08R,HOUSTON,TX,GS,7317,8507,7754,5321,SW,1,2710
IAH,08R,HOUSTON,TX,LOC,6762,7991,6924,2123,SW,1,2710
IAP,28R,PORTLAND,OR,GS,3114,3076,1545,7888,NM,2,2710
IAP,28R,PORTLAND,OR,LOC,7317,7716,8140,14689,NM,2,2710
IAS,07L,LOS ANGELES,CA,GS,2495,2377,2492,2236,WP,1,2710
IAS,07L,LOS ANGELES,CA,LOC,20170,20997,20575,2193,WP,1,2710
ICT,01R,WICHITA,KS,GS,4469,3904,4459,3769,CE,3,2710
ICT,01R,WICHITA,KS,LOC,2434,2749,1718,3583,CE,3,2710
IDA,21,IDAHO FALLS,ID,GS,5810,3926,4125,8500,NM,3,2710
IDA,21,IDAHO FALLS,ID,LOC,1826,2097,1480,1877,NM,3,2710
IDB,23R,GREENSBORO,NC,GS,20409,23433,16090,37686,SO,3,2710
IDB,23R,GREENSBORO,NC,LOC,17599,19396,14946,22305,SO,3,2710
IDI,28,INDIANA,PA,LOC,426624,-1,-1,426624,EA,,2710
IDN,32R,CHICAGO,IL,GS,18695,10438,6769,60229,GL,,2710
IDN,32R,CHICAGO,IL,LOC,19126,16837,3265,79308,GL,,2710
IDP,35,INDEPENDENCE,KS,GS,21888,20634,19285,15896,CE,3,2710
IDP,35,INDEPENDENCE,KS,LOC,6788,7450,6039,6294,CE,3,2710
IDR,31,WINDER,GA,GS,7899,7745,7546,4973,SO,1,2710
IDR,31,WINDER,GA,LOC,25166,19538,25120,25302,SO,1,2710
IER,35,NATCHITOCHES,LA,LOC,320016,-1,-1,320016,SW,X,2710
III,02,STURGEON BAY,WI,LOC,339720,-1,-1,339720,GL,,2710
IJD,27,WINDHAM,CT,LOC,26983,27300,5899,69150,NE,X,2710
IKK,04,KANKAKEE,IL,GS,9548,9888,7750,9321,GL,3,2710
IKK,04,KANKAKEE,IL,LOC,4979,3141,3811,9969,GL,3,2710
IKQ,19,MERIDIAN,MS,GS,11476,12222,11837,869,SO,3,2710
IKQ,19,MERIDIAN,MS,LOC,5665,10989,10533,869,SO,3,2710
IKX,33,WINDSOR LOCKS,CT,GS,8249,10060,11116,1759,NE,3,2710
IKX,33,WINDSOR LOCKS,CT,LOC,15748,16164,14293,8457,NE,3,2710
ILE,01,KILLEEN,TX,GS,18569,16563,4114,77335,SW,X,2710
ILE,01,KILLEEN,TX,LOC,21002,28358,24373,20094,SW,2,2710
ILG,01,NEW CASTLE,DE,GS,4708,4969,618,20748,EA,3,2710
ILG,01,NEW CASTLE,DE,LOC,2284,2158,992,6509,EA,3,2710
ILM,35,WILMINGTON,NC,GS,5615,6585,6224,1807,SO,3,2710
ILM,35,WILMINGTON,NC,LOC,3226,4242,2917,1567,SO,3,2710
ILN,22R,WILMINGTON,OH,GS,25892,24886,34047,17736,GL,X,2710
ILN,22R,WILMINGTON,OH,LOC,17256,22148,24958,1853,GL,X,2710
IMO,17,ASHEVILLE,NC,GS,13370,14051,13666,4067,SO,3,2710
IMO,17,ASHEVILLE,NC,LOC,910,0,816,2001,SO,3,2710
IMT,01,IRON MOUNTAIN,MI,GS,11972,5598,11765,2769,GL,3,2710
IMT,01,IRON MOUNTAIN,MI,LOC,6338,6283,3799,18604,GL,3,2710
INB,30,OAKLAND,CA,GS,15107,15425,15745,9027,WP,2,2710
INB,30,OAKLAND,CA,LOC,15109,14474,8601,36862,WP,2,2710
IND,05L,INDIANAPOLIS,IN,GS,16656,14776,7609,56520,GL,2,2710
IND,05L,INDIANAPOLIS,IN,LOC,18065,19044,18186,11225,GL,2,2710
INL,31,INT FALLS,MN,GS,12239,12606,3873,52445,GL,3,2710
INL,31,INT FALLS,MN,LOC,4700,5622,4461,3580,GL,3,2710
INN,30R,MINNEAPOLIS,MN,GS,5169,6554,5911,8400,GL,1,2710
INN,30R,MINNEAPOLIS,MN,LOC,26141,29866,28557,18893,GL,1,2710
INT,33,WINSTON SALEM,NC,GS,5583,4905,4968,5935,SO,3,2710
INT,33,WINSTON SALEM,NC,LOC,5591,6985,7299,1139,SO,3,2710
IPJ,23,LINCOLNTON,NC,GS,30359,31185,11969,48749,SO,X,2710
IPJ,23,LINCOLNTON,NC,LOC,64656,-1,-1,64656,SO,X,2710
IPT,27,WILLIAMSPORT,PA,GS,4664,4284,6251,1812,EA,3,2710
IPT,27,WILLIAMSPORT,PA,LOC,17634,19015,15251,19738,EA,3,2710
IRK,36,KIRKSVILLE,MO,GS,2963,4136,5743,1975,CE,3,2710
IRK,36,KIRKSVILLE,MO,LOC,18784,17568,12491,31469,CE,3,2710
ISM,15,KISSIMMEE,FL,GS,5741,6089,4794,10372,SO,3,2710
ISM,15,KISSIMMEE,FL,LOC,12402,11242,8538,21054,SO,3,2710
ISO,05,KINSTON,NC,GS,5897,6090,4860,5838,SO,3,2710
ISO,05,KINSTON,NC,LOC,27644,28144,27369,1421,SO,3,2710
ISP,06,ISLIP,NY,GS,5022,6004,5078,1424,EA,3,2710
ISP,06,ISLIP,NY,LOC,9844,9883,6626,28519,EA,3,2710
ISU,19R,DULLES,VA,GS,15008,15841,16393,20721,EA,1,2710
ISU,19R,DULLES,VA,LOC,10106,10169,10256,463,EA,1,2710
ITH,32,ITHACA,NY,GS,2717,4186,3751,1975,EA,3,2710
ITH,32,ITHACA,NY,LOC,725,471,1903,1038,EA,3,2710
ITO,26,HAWAII HILO,HI,GS,2638,2935,3644,906,WP,3,2710
ITO,26,HAWAII HILO,HI,LOC,4841,5418,3886,5426,WP,3,2710
IUM,04R,OAHU HONOLULU,HI,GS,2559,2760,2549,811,WP,1,2710
IUM,04R,OAHU HONOLULU,HI,LOC,2393,2766,2360,811,WP,1,2710
IVI,06R,RYAN FIELD,AZ,GS,4929,4136,4962,1103,WP,3,2710
IVI,06R,RYAN FIELD,AZ,LOC,7216,7825,8067,1900,WP,3,2710
IWA,30C,WMS GATEWAY,AZ,GS,1643,1974,3032,1636,WP,3,2710
IWA,30C,WMS GATEWAY,AZ,LOC,12052,12474,4360,38712,WP,3,2710
IWD,27,IRONWOOD,MI,GS,5647,5858,5618,5960,GL,3,2710
IWD,27,IRONWOOD,MI,LOC,3211,4336,4184,3969,GL,3,2710
IWY,22L,JAMAICA,NY,GS,21574,21562,18779,21661,EA,1,2710
IWY,22L,JAMAICA,NY,LOC,15396,14906,6274,50525,EA,1,2710
IXD,36,OLATHE,KS,GS,2648,975,1203,11523,CE,3,2710
IXD,36,OLATHE,KS,LOC,2774,2888,2657,2308,CE,3,2710
IYA,16,ABBEVILLE,LA,LOC,88608,-1,-1,88608,SW,X,2710
IYQ,31,PETERSBURG,WV,LOC,3287,3199,2141,5743,EA,3,2710
IYV,04R,WILMINGTON,OH,GS,225768,-1,-1,225768,GL,X,2710
IYV,04R,WILMINGTON,OH,LOC,225768,-1,-1,225768,GL,X,2710
IYY,12,CHARLES CITY,IA,LOC,31621,31734,10334,118330,CE,3,2710
IZJ,10R,CHICAGO,IL,GS,37536,-1,-1,37536,GL,1,2710
